"query","category","intent","city","region_code","top_n","pages_to_scan","target_topic","query_focus","positive_page_pattern","negative_page_traps"
"как выбрать миграционный юрист","migration_law","informational","","","10","1","юридическая помощь по миграционным вопросам","выбор по критериям: миграционный юрист","страница именно про юридическая помощь по миграционным вопросам с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","туристическое агентство; новости миграции; форум без услуги; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"лучшие корпоративное обучение","corporate_training","comparison","","","10","1","обучение сотрудников компаний","сравнение вариантов: корпоративное обучение","страница именно про обучение сотрудников компаний с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","школьные курсы; вакансии тренера; статьи без программы; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"центр реабилитации Екатеринбург","medical_rehabilitation","commercial","Екатеринбург","54","10","1","медицинская реабилитация","центр реабилитации в городе Екатеринбург","страница именно про медицинская реабилитация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","санаторий без реабилитации; фитнес-клуб; статья о здоровье; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"центр реабилитации цена","medical_rehabilitation","commercial","","","10","1","медицинская реабилитация","стоимость: центр реабилитации","страница именно про медицинская реабилитация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","санаторий без реабилитации; фитнес-клуб; статья о здоровье; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"центр реабилитации отзывы","medical_rehabilitation","comparison","","","10","1","медицинская реабилитация","отзывы и выбор: центр реабилитации","страница именно про медицинская реабилитация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","санаторий без реабилитации; фитнес-клуб; статья о здоровье; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"как выбрать центр реабилитации","medical_rehabilitation","informational","","","10","1","медицинская реабилитация","выбор по критериям: центр реабилитации","страница именно про медицинская реабилитация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","санаторий без реабилитации; фитнес-клуб; статья о здоровье; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"центр реабилитации с гарантией","medical_rehabilitation","commercial","","","10","1","медицинская реабилитация","гарантия и условия: центр реабилитации","страница именно про медицинская реабилитация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","санаторий без реабилитации; фитнес-клуб; статья о здоровье; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"центр реабилитации для бизнеса","medical_rehabilitation","commercial","","","10","1","медицинская реабилитация","решение для бизнеса: центр реабилитации","страница именно про медицинская реабилитация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","санаторий без реабилитации; фитнес-клуб; статья о здоровье; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"центр реабилитации под ключ","medical_rehabilitation","commercial","","","10","1","медицинская реабилитация","комплексная услуга: центр реабилитации","страница именно про медицинская реабилитация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","санаторий без реабилитации; фитнес-клуб; статья о здоровье; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"центр реабилитации рядом","medical_rehabilitation","commercial","Екатеринбург","54","10","1","медицинская реабилитация","локальный поиск: центр реабилитации","страница именно про медицинская реабилитация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","санаторий без реабилитации; фитнес-клуб; статья о здоровье; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"центр реабилитации консультация","medical_rehabilitation","commercial","","","10","1","медицинская реабилитация","консультация по теме: центр реабилитации","страница именно про медицинская реабилитация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","санаторий без реабилитации; фитнес-клуб; статья о здоровье; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"лучшие центр реабилитации","medical_rehabilitation","comparison","","","10","1","медицинская реабилитация","сравнение вариантов: центр реабилитации","страница именно про медицинская реабилитация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","санаторий без реабилитации; фитнес-клуб; статья о здоровье; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"ортопедическая клиника Казань","orthopedic_clinic","commercial","Казань","43","10","1","ортопедия и лечение суставов","ортопедическая клиника в городе Казань","страница именно про ортопедия и лечение суставов с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","ортопедические товары; стоматология; форум пациентов; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"ортопедическая клиника цена","orthopedic_clinic","commercial","","","10","1","ортопедия и лечение суставов","стоимость: ортопедическая клиника","страница именно про ортопедия и лечение суставов с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","ортопедические товары; стоматология; форум пациентов; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"ортопедическая клиника отзывы","orthopedic_clinic","comparison","","","10","1","ортопедия и лечение суставов","отзывы и выбор: ортопедическая клиника","страница именно про ортопедия и лечение суставов с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","ортопедические товары; стоматология; форум пациентов; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"как выбрать ортопедическая клиника","orthopedic_clinic","informational","","","10","1","ортопедия и лечение суставов","выбор по критериям: ортопедическая клиника","страница именно про ортопедия и лечение суставов с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","ортопедические товары; стоматология; форум пациентов; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"ортопедическая клиника с гарантией","orthopedic_clinic","commercial","","","10","1","ортопедия и лечение суставов","гарантия и условия: ортопедическая клиника","страница именно про ортопедия и лечение суставов с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","ортопедические товары; стоматология; форум пациентов; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"ортопедическая клиника для бизнеса","orthopedic_clinic","commercial","","","10","1","ортопедия и лечение суставов","решение для бизнеса: ортопедическая клиника","страница именно про ортопедия и лечение суставов с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","ортопедические товары; стоматология; форум пациентов; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"ортопедическая клиника под ключ","orthopedic_clinic","commercial","","","10","1","ортопедия и лечение суставов","комплексная услуга: ортопедическая клиника","страница именно про ортопедия и лечение суставов с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","ортопедические товары; стоматология; форум пациентов; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"ортопедическая клиника рядом","orthopedic_clinic","commercial","Казань","43","10","1","ортопедия и лечение суставов","локальный поиск: ортопедическая клиника","страница именно про ортопедия и лечение суставов с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","ортопедические товары; стоматология; форум пациентов; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"ортопедическая клиника консультация","orthopedic_clinic","commercial","","","10","1","ортопедия и лечение суставов","консультация по теме: ортопедическая клиника","страница именно про ортопедия и лечение суставов с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","ортопедические товары; стоматология; форум пациентов; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"лучшие ортопедическая клиника","orthopedic_clinic","comparison","","","10","1","ортопедия и лечение суставов","сравнение вариантов: ортопедическая клиника","страница именно про ортопедия и лечение суставов с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","ортопедические товары; стоматология; форум пациентов; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"офтальмологическая клиника Новосибирск","ophthalmology","commercial","Новосибирск","65","10","1","офтальмология и лечение зрения","офтальмологическая клиника в городе Новосибирск","страница именно про офтальмология и лечение зрения с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","магазин очков; новости медицины; ветеринарный офтальмолог; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"офтальмологическая клиника цена","ophthalmology","commercial","","","10","1","офтальмология и лечение зрения","стоимость: офтальмологическая клиника","страница именно про офтальмология и лечение зрения с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","магазин очков; новости медицины; ветеринарный офтальмолог; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"офтальмологическая клиника отзывы","ophthalmology","comparison","","","10","1","офтальмология и лечение зрения","отзывы и выбор: офтальмологическая клиника","страница именно про офтальмология и лечение зрения с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","магазин очков; новости медицины; ветеринарный офтальмолог; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"как выбрать офтальмологическая клиника","ophthalmology","informational","","","10","1","офтальмология и лечение зрения","выбор по критериям: офтальмологическая клиника","страница именно про офтальмология и лечение зрения с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","магазин очков; новости медицины; ветеринарный офтальмолог; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"офтальмологическая клиника с гарантией","ophthalmology","commercial","","","10","1","офтальмология и лечение зрения","гарантия и условия: офтальмологическая клиника","страница именно про офтальмология и лечение зрения с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","магазин очков; новости медицины; ветеринарный офтальмолог; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"как выбрать сиделка для пожилого","home_care","informational","","","10","1","услуги сиделки и ухода","выбор по критериям: сиделка для пожилого","страница именно про услуги сиделки и ухода с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","дом престарелых без сиделок; медицинские статьи; вакансии сиделки; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
