query,category,intent,city,region_code,top_n,pages_to_scan,target_topic,query_focus,positive_page_pattern,negative_page_traps
груминг собак для бизнеса,pet_grooming,commercial,,,10,1,груминг и уход за животными,решение для бизнеса: груминг собак,"страница именно про груминг и уход за животными с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",ветаптека; продажа кормов; статьи без записи к мастеру; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
груминг собак под ключ,pet_grooming,commercial,,,10,1,груминг и уход за животными,комплексная услуга: груминг собак,"страница именно про груминг и уход за животными с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",ветаптека; продажа кормов; статьи без записи к мастеру; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
груминг собак рядом,pet_grooming,commercial,Санкт-Петербург,2,10,1,груминг и уход за животными,локальный поиск: груминг собак,"страница именно про груминг и уход за животными с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",ветаптека; продажа кормов; статьи без записи к мастеру; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
груминг собак консультация,pet_grooming,commercial,,,10,1,груминг и уход за животными,консультация по теме: груминг собак,"страница именно про груминг и уход за животными с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",ветаптека; продажа кормов; статьи без записи к мастеру; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
лучшие груминг собак,pet_grooming,comparison,,,10,1,груминг и уход за животными,сравнение вариантов: груминг собак,"страница именно про груминг и уход за животными с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",ветаптека; продажа кормов; статьи без записи к мастеру; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частная школа Екатеринбург,private_school,commercial,Екатеринбург,54,10,1,частное школьное образование,частная школа в городе Екатеринбург,"страница именно про частное школьное образование с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",курсы для взрослых; государственный портал; новости образования; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частная школа цена,private_school,commercial,,,10,1,частное школьное образование,стоимость: частная школа,"страница именно про частное школьное образование с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",курсы для взрослых; государственный портал; новости образования; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частная школа отзывы,private_school,comparison,,,10,1,частное школьное образование,отзывы и выбор: частная школа,"страница именно про частное школьное образование с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",курсы для взрослых; государственный портал; новости образования; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
как выбрать частная школа,private_school,informational,,,10,1,частное школьное образование,выбор по критериям: частная школа,"страница именно про частное школьное образование с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",курсы для взрослых; государственный портал; новости образования; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частная школа с гарантией,private_school,commercial,,,10,1,частное школьное образование,гарантия и условия: частная школа,"страница именно про частное школьное образование с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",курсы для взрослых; государственный портал; новости образования; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частная школа для бизнеса,private_school,commercial,,,10,1,частное школьное образование,решение для бизнеса: частная школа,"страница именно про частное школьное образование с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",курсы для взрослых; государственный портал; новости образования; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частная школа под ключ,private_school,commercial,,,10,1,частное школьное образование,комплексная услуга: частная школа,"страница именно про частное школьное образование с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",курсы для взрослых; государственный портал; новости образования; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частная школа рядом,private_school,commercial,Екатеринбург,54,10,1,частное школьное образование,локальный поиск: частная школа,"страница именно про частное школьное образование с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",курсы для взрослых; государственный портал; новости образования; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частная школа консультация,private_school,commercial,,,10,1,частное школьное образование,консультация по теме: частная школа,"страница именно про частное школьное образование с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",курсы для взрослых; государственный портал; новости образования; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
лучшие частная школа,private_school,comparison,,,10,1,частное школьное образование,сравнение вариантов: частная школа,"страница именно про частное школьное образование с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",курсы для взрослых; государственный портал; новости образования; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частный детский сад Казань,kindergarten,commercial,Казань,43,10,1,частные детские сады и дошкольное развитие,частный детский сад в городе Казань,"страница именно про частные детские сады и дошкольное развитие с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",игрушки; вакансии воспитателя; статья без сада; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частный детский сад цена,kindergarten,commercial,,,10,1,частные детские сады и дошкольное развитие,стоимость: частный детский сад,"страница именно про частные детские сады и дошкольное развитие с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",игрушки; вакансии воспитателя; статья без сада; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частный детский сад отзывы,kindergarten,comparison,,,10,1,частные детские сады и дошкольное развитие,отзывы и выбор: частный детский сад,"страница именно про частные детские сады и дошкольное развитие с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",игрушки; вакансии воспитателя; статья без сада; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
как выбрать частный детский сад,kindergarten,informational,,,10,1,частные детские сады и дошкольное развитие,выбор по критериям: частный детский сад,"страница именно про частные детские сады и дошкольное развитие с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",игрушки; вакансии воспитателя; статья без сада; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частный детский сад с гарантией,kindergarten,commercial,,,10,1,частные детские сады и дошкольное развитие,гарантия и условия: частный детский сад,"страница именно про частные детские сады и дошкольное развитие с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",игрушки; вакансии воспитателя; статья без сада; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частный детский сад для бизнеса,kindergarten,commercial,,,10,1,частные детские сады и дошкольное развитие,решение для бизнеса: частный детский сад,"страница именно про частные детские сады и дошкольное развитие с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",игрушки; вакансии воспитателя; статья без сада; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частный детский сад под ключ,kindergarten,commercial,,,10,1,частные детские сады и дошкольное развитие,комплексная услуга: частный детский сад,"страница именно про частные детские сады и дошкольное развитие с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",игрушки; вакансии воспитателя; статья без сада; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частный детский сад рядом,kindergarten,commercial,Казань,43,10,1,частные детские сады и дошкольное развитие,локальный поиск: частный детский сад,"страница именно про частные детские сады и дошкольное развитие с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",игрушки; вакансии воспитателя; статья без сада; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
частный детский сад консультация,kindergarten,commercial,,,10,1,частные детские сады и дошкольное развитие,консультация по теме: частный детский сад,"страница именно про частные детские сады и дошкольное развитие с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",игрушки; вакансии воспитателя; статья без сада; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
лучшие частный детский сад,kindergarten,comparison,,,10,1,частные детские сады и дошкольное развитие,сравнение вариантов: частный детский сад,"страница именно про частные детские сады и дошкольное развитие с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",игрушки; вакансии воспитателя; статья без сада; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
логопед для ребенка Новосибирск,speech_therapy,commercial,Новосибирск,65,10,1,логопедические занятия для детей,логопед для ребенка в городе Новосибирск,"страница именно про логопедические занятия для детей с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",медицинский справочник; онлайн-курс для логопедов; детский магазин; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
логопед для ребенка цена,speech_therapy,commercial,,,10,1,логопедические занятия для детей,стоимость: логопед для ребенка,"страница именно про логопедические занятия для детей с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",медицинский справочник; онлайн-курс для логопедов; детский магазин; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
логопед для ребенка отзывы,speech_therapy,comparison,,,10,1,логопедические занятия для детей,отзывы и выбор: логопед для ребенка,"страница именно про логопедические занятия для детей с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",медицинский справочник; онлайн-курс для логопедов; детский магазин; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
как выбрать логопед для ребенка,speech_therapy,informational,,,10,1,логопедические занятия для детей,выбор по критериям: логопед для ребенка,"страница именно про логопедические занятия для детей с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",медицинский справочник; онлайн-курс для логопедов; детский магазин; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
логопед для ребенка с гарантией,speech_therapy,commercial,,,10,1,логопедические занятия для детей,гарантия и условия: логопед для ребенка,"страница именно про логопедические занятия для детей с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",медицинский справочник; онлайн-курс для логопедов; детский магазин; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
логопед для ребенка для бизнеса,speech_therapy,commercial,,,10,1,логопедические занятия для детей,решение для бизнеса: логопед для ребенка,"страница именно про логопедические занятия для детей с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",медицинский справочник; онлайн-курс для логопедов; детский магазин; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
логопед для ребенка под ключ,speech_therapy,commercial,,,10,1,логопедические занятия для детей,комплексная услуга: логопед для ребенка,"страница именно про логопедические занятия для детей с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",медицинский справочник; онлайн-курс для логопедов; детский магазин; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
логопед для ребенка рядом,speech_therapy,commercial,Новосибирск,65,10,1,логопедические занятия для детей,локальный поиск: логопед для ребенка,"страница именно про логопедические занятия для детей с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",медицинский справочник; онлайн-курс для логопедов; детский магазин; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
логопед для ребенка консультация,speech_therapy,commercial,,,10,1,логопедические занятия для детей,консультация по теме: логопед для ребенка,"страница именно про логопедические занятия для детей с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",медицинский справочник; онлайн-курс для логопедов; детский магазин; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
лучшие логопед для ребенка,speech_therapy,comparison,,,10,1,логопедические занятия для детей,сравнение вариантов: логопед для ребенка,"страница именно про логопедические занятия для детей с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",медицинский справочник; онлайн-курс для логопедов; детский магазин; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
психолог онлайн Москва,psychologist,commercial,Москва,213,10,1,психологические консультации,психолог онлайн в городе Москва,"страница именно про психологические консультации с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",психологические тесты; книги; вакансии психолога; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
психолог онлайн цена,psychologist,commercial,,,10,1,психологические консультации,стоимость: психолог онлайн,"страница именно про психологические консультации с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",психологические тесты; книги; вакансии психолога; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
психолог онлайн отзывы,psychologist,comparison,,,10,1,психологические консультации,отзывы и выбор: психолог онлайн,"страница именно про психологические консультации с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",психологические тесты; книги; вакансии психолога; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
как выбрать психолог онлайн,psychologist,informational,,,10,1,психологические консультации,выбор по критериям: психолог онлайн,"страница именно про психологические консультации с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",психологические тесты; книги; вакансии психолога; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
психолог онлайн с гарантией,psychologist,commercial,,,10,1,психологические консультации,гарантия и условия: психолог онлайн,"страница именно про психологические консультации с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",психологические тесты; книги; вакансии психолога; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
