dataset_version,feature_schema_version,extraction_artifact_version,label_schema_version,label_source,weak_target_score,expert_target_score,query,category,intent,city,region_code,url,domain,rank,serp_page,title,snippet,page_type,fetch_status,fetch_error,artifact_path,artifact_sha1,artifact_size_bytes,target_score
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,как выбрать частная школа,private_school,informational,,,https://markakachestva.ru/article/8897-kak-vybrat-chastnuju-shkolu.html,markakachestva.ru,1,0,,,article,failed,Browser rendering did not produce usable content,,,0,100.0
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,77.7778,,как выбрать частная школа,private_school,informational,,,https://journal.vsevmeste.org/expert/kak-vybrat-chastnuyu-shkolu-v-2026-godu-polnyj-gid-dlya-roditelej/,journal.vsevmeste.org,3,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://journal.vsevmeste.org/expert/kak-vybrat-chastnuyu-shkolu-v-2026-godu-polnyj-gid-dlya-roditelej/
Call log:
  - navigating to ""https://journal.vsevmeste.org/expert/kak-vybrat-chastnuyu-shkolu-v-2026-godu-polnyj-gid-dlya-roditelej/"", waiting until ""domcontentloaded""
",,,0,77.7778
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,88.8889,,частная школа с гарантией,private_school,commercial,,,https://markakachestva.ru/article/8897-kak-vybrat-chastnuju-shkolu.html,markakachestva.ru,2,0,,,article,failed,Browser rendering did not produce usable content,,,0,88.8889
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,66.6667,,частная школа под ключ,private_school,commercial,,,https://sk-interbiznes.ru/stroitelstvo-bystrovozvodimykh-shkol-pod-klyuch/,sk-interbiznes.ru,4,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://sk-interbiznes.ru/stroitelstvo-bystrovozvodimykh-shkol-pod-klyuch/
Call log:
  - navigating to ""https://sk-interbiznes.ru/stroitelstvo-bystrovozvodimykh-shkol-pod-klyuch/"", waiting until ""domcontentloaded""
",,,0,66.6667
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,11.1111,,частная школа под ключ,private_school,commercial,,,https://kdelu.vtb.ru/articles/kak-otkryt-chastnuyu-shkolu-v-rossii-podrobnoe-rukovodstvo/,kdelu.vtb.ru,9,0,,,article,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://kdelu.vtb.ru/articles/kak-otkryt-chastnuyu-shkolu-v-rossii-podrobnoe-rukovodstvo/
Call log:
  - navigating to ""https://kdelu.vtb.ru/articles/kak-otkryt-chastnuyu-shkolu-v-rossii-podrobnoe-rukovodstvo/"", waiting until ""domcontentloaded""
",,,0,11.1111
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,44.4444,,частная школа рядом,private_school,commercial,Екатеринбург,54,https://www.kp.ru/russia/moskva/chastnye-shkoly/,kp.ru,6,0,,,content,failed,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://www.kp.ru/russia/moskva/chastnye-shkoly/
Call log:
  - navigating to ""https://www.kp.ru/russia/moskva/chastnye-shkoly/"", waiting until ""domcontentloaded""
",,,0,44.4444
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,11.1111,,частная школа рядом,private_school,commercial,Екатеринбург,54,https://2gis.ru/moscow/search/Частные школы в москве адреса,2gis.ru,9,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://2gis.ru/moscow/search/%D0%A7%D0%B0%D1%81%D1%82%D0%BD%D1%8B%D0%B5%20%D1%88%D0%BA%D0%BE%D0%BB%D1%8B%20%D0%B2%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B5%20%D0%B0%D0%B4%D1%80%D0%B5%D1%81%D0%B0"", waiting until ""domcontentloaded""
",,,0,11.1111
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,33.3333,,частная школа консультация,private_school,commercial,,,https://www.sostav.ru/blogs/280590/70620,sostav.ru,7,0,,,article,failed,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://www.sostav.ru/blogs/280590/70620
Call log:
  - navigating to ""https://www.sostav.ru/blogs/280590/70620"", waiting until ""domcontentloaded""
",,,0,33.3333
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,55.5556,,лучшие частная школа,private_school,comparison,,,https://www.kp.ru/russia/moskva/chastnye-shkoly/,kp.ru,5,0,,,content,failed,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://www.kp.ru/russia/moskva/chastnye-shkoly/
Call log:
  - navigating to ""https://www.kp.ru/russia/moskva/chastnye-shkoly/"", waiting until ""domcontentloaded""
",,,0,55.5556
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,33.3333,,лучшие частная школа,private_school,comparison,,,https://markakachestva.ru/article/8897-kak-vybrat-chastnuju-shkolu.html,markakachestva.ru,7,0,,,article,failed,Browser rendering did not produce usable content,,,0,33.3333
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,22.2222,,лучшие частная школа,private_school,comparison,,,https://www.chastnye-shkoly.ru/lib/top-chastnyh-a,chastnye-shkoly.ru,8,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://www.chastnye-shkoly.ru/lib/top-chastnyh-a
Call log:
  - navigating to ""https://www.chastnye-shkoly.ru/lib/top-chastnyh-a"", waiting until ""domcontentloaded""
",,,0,22.2222
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,66.6667,,частный детский сад Казань,kindergarten,commercial,Казань,43,https://www.kp.ru/russia/kazan/chastnye-detskie-sady/,kp.ru,4,0,,,content,failed,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://www.kp.ru/russia/kazan/chastnye-detskie-sady/
Call log:
  - navigating to ""https://www.kp.ru/russia/kazan/chastnye-detskie-sady/"", waiting until ""domcontentloaded""
",,,0,66.6667
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,0.0,,частный детский сад цена,kindergarten,commercial,,,https://nashi-detki-chastnyj-detskij-sad.ru/price/,nashi-detki-chastnyj-detskij-sad.ru,10,0,,,content,failed,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://nashi-detki-chastnyj-detskij-sad.ru/price/
Call log:
  - navigating to ""https://nashi-detki-chastnyj-detskij-sad.ru/price/"", waiting until ""domcontentloaded""
",,,0,0.0
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,11.1111,,частный детский сад для бизнеса,kindergarten,commercial,,,https://www.kp.ru/money/biznes/kak-otkryt-detskij-sad-s-nulya/,kp.ru,9,0,,,content,failed,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://www.kp.ru/money/biznes/kak-otkryt-detskij-sad-s-nulya/
Call log:
  - navigating to ""https://www.kp.ru/money/biznes/kak-otkryt-detskij-sad-s-nulya/"", waiting until ""domcontentloaded""
",,,0,11.1111
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,частный детский сад под ключ,kindergarten,commercial,,,https://mosekosila.ru/dokumenty-dlya-otkrytiya/chastnogo-detskogo-sada/,mosekosila.ru,1,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://mosekosila.ru/dokumenty-dlya-otkrytiya/chastnogo-detskogo-sada/
Call log:
  - navigating to ""https://mosekosila.ru/dokumenty-dlya-otkrytiya/chastnogo-detskogo-sada/"", waiting until ""domcontentloaded""
",,,0,100.0
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,66.6667,,частный детский сад консультация,kindergarten,commercial,,,https://nsportal.ru/detskiy-sad/materialy-dlya-roditeley/2023/07/09/konsultatsiya-dlya-roditeley-pervyy-raz-v-detskiy,nsportal.ru,4,0,,,content,failed,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://nsportal.ru/detskiy-sad/materialy-dlya-roditeley/2023/07/09/konsultatsiya-dlya-roditeley-pervyy-raz-v-detskiy
Call log:
  - navigating to ""https://nsportal.ru/detskiy-sad/materialy-dlya-roditeley/2023/07/09/konsultatsiya-dlya-roditeley-pervyy-raz-v-detskiy"", waiting until ""domcontentloaded""
",,,0,66.6667
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,44.4444,,частный детский сад консультация,kindergarten,commercial,,,https://www.consultant.ru/law/podborki/chastnyj_detskij_sad/,consultant.ru,6,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_CLOSED at https://www.consultant.ru/law/podborki/chastnyj_detskij_sad/
Call log:
  - navigating to ""https://www.consultant.ru/law/podborki/chastnyj_detskij_sad/"", waiting until ""domcontentloaded""
",,,0,44.4444
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,66.6667,,лучшие частный детский сад,kindergarten,comparison,,,https://www.kp.ru/russia/moskva/chastnye-detskie-sady/,kp.ru,4,0,,,content,failed,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://www.kp.ru/russia/moskva/chastnye-detskie-sady/
Call log:
  - navigating to ""https://www.kp.ru/russia/moskva/chastnye-detskie-sady/"", waiting until ""domcontentloaded""
",,,0,66.6667
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,22.2222,,логопед для ребенка цена,speech_therapy,commercial,,,https://inring.ru/rannee-razvitie/logoped/onlayn-logoped-dlya-detey-i-podrostkov-ot-4-do-16-let/,inring.ru,8,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://inring.ru/rannee-razvitie/logoped/onlayn-logoped-dlya-detey-i-podrostkov-ot-4-do-16-let/"", waiting until ""domcontentloaded""
",,,0,22.2222
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,11.1111,,логопед для ребенка отзывы,speech_therapy,comparison,,,https://lena.spb.ru/reviews.html,lena.spb.ru,9,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://lena.spb.ru/reviews.html
Call log:
  - navigating to ""https://lena.spb.ru/reviews.html"", waiting until ""domcontentloaded""
",,,0,11.1111
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,77.7778,,как выбрать логопед для ребенка,speech_therapy,informational,,,https://nsportal.ru/detskiy-sad/logopediya/2024/02/10/kak-vybrat-logopeda-dlya-svoego-rebenka,nsportal.ru,3,0,,,content,failed,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://nsportal.ru/detskiy-sad/logopediya/2024/02/10/kak-vybrat-logopeda-dlya-svoego-rebenka
Call log:
  - navigating to ""https://nsportal.ru/detskiy-sad/logopediya/2024/02/10/kak-vybrat-logopeda-dlya-svoego-rebenka"", waiting until ""domcontentloaded""
",,,0,77.7778
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,55.5556,,как выбрать логопед для ребенка,speech_therapy,informational,,,https://dzen.ru/a/aMqCFFyR5mN2C0y1,dzen.ru,5,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://dzen.ru/a/aMqCFFyR5mN2C0y1"", waiting until ""domcontentloaded""
",,,0,55.5556
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,логопед для ребенка с гарантией,speech_therapy,commercial,,,https://markakachestva.ru/rating-of/7246-luchshie-onlajn-servisy-logopedov-dlja-detej-rejting.html,markakachestva.ru,1,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://markakachestva.ru/rating-of/7246-luchshie-onlajn-servisy-logopedov-dlja-detej-rejting.html
Call log:
  - navigating to ""https://markakachestva.ru/rating-of/7246-luchshie-onlajn-servisy-logopedov-dlja-detej-rejting.html"", waiting until ""domcontentloaded""
",,,0,100.0
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,55.5556,,логопед для ребенка с гарантией,speech_therapy,commercial,,,https://logokids.ru/online/,logokids.ru,5,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://logokids.ru/online/
Call log:
  - navigating to ""https://logokids.ru/online/"", waiting until ""domcontentloaded""
",,,0,55.5556
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,44.4444,,логопед для ребенка с гарантией,speech_therapy,commercial,,,https://novatorkids.ru/,novatorkids.ru,6,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_RESET at https://novatorkids.ru/
Call log:
  - navigating to ""https://novatorkids.ru/"", waiting until ""domcontentloaded""
",,,0,44.4444
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,11.1111,,логопед для ребенка с гарантией,speech_therapy,commercial,,,https://spasibovsem.ru/ratings/interesnoe/luchshie-onlajn-servisy-logopedov-dlja-detej/,spasibovsem.ru,9,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://spasibovsem.ru/ratings/interesnoe/luchshie-onlajn-servisy-logopedov-dlja-detej/
Call log:
  - navigating to ""https://spasibovsem.ru/ratings/interesnoe/luchshie-onlajn-servisy-logopedov-dlja-detej/"", waiting until ""domcontentloaded""
",,,0,11.1111
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,логопед для ребенка для бизнеса,speech_therapy,commercial,,,https://hf.ru/c/business_logopedicheskij-kabinet,hf.ru,1,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://hf.ru/c/business_logopedicheskij-kabinet"", waiting until ""domcontentloaded""
",,,0,100.0
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,88.8889,,логопед для ребенка для бизнеса,speech_therapy,commercial,,,https://franshiza.ru/article/read/logopedicheskij_centr_kak_biznes-kak_otkryt_skolko_mozhno_zarabotat/,franshiza.ru,2,0,,,article,failed,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://franshiza.ru/article/read/logopedicheskij_centr_kak_biznes-kak_otkryt_skolko_mozhno_zarabotat/
Call log:
  - navigating to ""https://franshiza.ru/article/read/logopedicheskij_centr_kak_biznes-kak_otkryt_skolko_mozhno_zarabotat/"", waiting until ""domcontentloaded""
",,,0,88.8889
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,33.3333,,логопед для ребенка для бизнеса,speech_therapy,commercial,,,https://bzplan.ru/category/otrasli/meditsina/logoped/,bzplan.ru,7,0,,,category,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://bzplan.ru/category/otrasli/meditsina/logoped/
Call log:
  - navigating to ""https://bzplan.ru/category/otrasli/meditsina/logoped/"", waiting until ""domcontentloaded""
",,,0,33.3333
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,22.2222,,логопед для ребенка для бизнеса,speech_therapy,commercial,,,https://piter-consult.ru/assets/files/BP-logoped.pdf,piter-consult.ru,8,0,,,content,failed,"Page.goto: Download is starting
Call log:
  - navigating to ""https://piter-consult.ru/assets/files/BP-logoped.pdf"", waiting until ""domcontentloaded""
",,,0,22.2222
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,11.1111,,логопед для ребенка рядом,speech_therapy,commercial,Новосибирск,65,https://inring.ru/rannee-razvitie/logoped/onlayn-logoped-dlya-detey-i-podrostkov-ot-4-do-16-let/,inring.ru,9,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://inring.ru/rannee-razvitie/logoped/onlayn-logoped-dlya-detey-i-podrostkov-ot-4-do-16-let/"", waiting until ""domcontentloaded""
",,,0,11.1111
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,логопед для ребенка консультация,speech_therapy,commercial,,,https://nsportal.ru/shkola/korrektsionnaya-pedagogika/library/2024/03/13/sbornik-logopedicheskih-konsultatsiy-dlya,nsportal.ru,1,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_RESET at https://nsportal.ru/shkola/korrektsionnaya-pedagogika/library/2024/03/13/sbornik-logopedicheskih-konsultatsiy-dlya
Call log:
  - navigating to ""https://nsportal.ru/shkola/korrektsionnaya-pedagogika/library/2024/03/13/sbornik-logopedicheskih-konsultatsiy-dlya"", waiting until ""domcontentloaded""
",,,0,100.0
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,лучшие логопед для ребенка,speech_therapy,comparison,,,https://markakachestva.ru/rating-of/7246-luchshie-onlajn-servisy-logopedov-dlja-detej-rejting.html,markakachestva.ru,1,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://markakachestva.ru/rating-of/7246-luchshie-onlajn-servisy-logopedov-dlja-detej-rejting.html
Call log:
  - navigating to ""https://markakachestva.ru/rating-of/7246-luchshie-onlajn-servisy-logopedov-dlja-detej-rejting.html"", waiting until ""domcontentloaded""
",,,0,100.0
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,11.1111,,лучшие логопед для ребенка,speech_therapy,comparison,,,https://vc.ru/education/923079-reiting-logopedov-2024-onlain-servisy-dlya-detei-nadezhnye-professionaly,vc.ru,9,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://vc.ru/education/923079-reiting-logopedov-2024-onlain-servisy-dlya-detei-nadezhnye-professionaly
Call log:
  - navigating to ""https://vc.ru/education/923079-reiting-logopedov-2024-onlain-servisy-dlya-detei-nadezhnye-professionaly"", waiting until ""domcontentloaded""
",,,0,11.1111
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,66.6667,,как выбрать психолог онлайн,psychologist,informational,,,https://rb.ru/reviews/psychology-startups/,rb.ru,4,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://rb.ru/reviews/psychology-startups/
Call log:
  - navigating to ""https://rb.ru/reviews/psychology-startups/"", waiting until ""domcontentloaded""
",,,0,66.6667
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,психолог онлайн консультация,psychologist,commercial,,,https://yasno.live/,yasno.live,1,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://yasno.live/
Call log:
  - navigating to ""https://yasno.live/"", waiting until ""domcontentloaded""
",,,0,100.0
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,юридический перевод документов цена,legal_translation,commercial,,,https://mkperevod.ru/yuridicheskij-perevod,mkperevod.ru,1,0,,,content,failed,Browser rendering did not produce usable content,,,0,100.0
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,22.2222,,юридический перевод документов цена,legal_translation,commercial,,,https://www.lingvoservice.ru/legal,lingvoservice.ru,8,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://www.lingvoservice.ru/legal
Call log:
  - navigating to ""https://www.lingvoservice.ru/legal"", waiting until ""domcontentloaded""
",,,0,22.2222
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,77.7778,,юридический перевод документов с гарантией,legal_translation,commercial,,,https://academperevod.ru/uslugi/juridicheskij-perevod/,academperevod.ru,3,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://academperevod.ru/uslugi/juridicheskij-perevod/
Call log:
  - navigating to ""https://academperevod.ru/uslugi/juridicheskij-perevod/"", waiting until ""domcontentloaded""
",,,0,77.7778
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,0.0,,юридический перевод документов для бизнеса,legal_translation,commercial,,,https://profpereklad.ua/ru/yuridiche,profpereklad.ua,10,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://profpereklad.ua/ru/yuridiche
Call log:
  - navigating to ""https://profpereklad.ua/ru/yuridiche"", waiting until ""domcontentloaded""
",,,0,0.0
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,юридический перевод документов под ключ,legal_translation,commercial,,,https://www.traktat.com/,traktat.com,1,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://www.traktat.com/
Call log:
  - navigating to ""https://www.traktat.com/"", waiting until ""domcontentloaded""
",,,0,100.0
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,33.3333,,юридический перевод документов под ключ,legal_translation,commercial,,,https://academperevod.ru/uslugi/juridicheskij-perevod/,academperevod.ru,7,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://academperevod.ru/uslugi/juridicheskij-perevod/
Call log:
  - navigating to ""https://academperevod.ru/uslugi/juridicheskij-perevod/"", waiting until ""domcontentloaded""
",,,0,33.3333
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,77.7778,,как выбрать нотариус,notary_services,informational,,,https://www.mos.ru/otvet-dokumenti/kak-nayti-notariusa/,mos.ru,3,0,,,content,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.mos.ru/otvet-dokumenti/kak-nayti-notariusa/"", waiting until ""domcontentloaded""
",,,0,77.7778
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,55.5556,,как выбрать нотариус,notary_services,informational,,,https://notarysvao.ru/articles/kak-vyibrat-xoroshego-notariusa,notarysvao.ru,5,0,,,article,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://notarysvao.ru/articles/kak-vyibrat-xoroshego-notariusa"", waiting until ""domcontentloaded""
",,,0,55.5556
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,44.4444,,как выбрать нотариус,notary_services,informational,,,https://rg.ru/2020/09/16/roskachestvo-raziasnilo-kak-vybrat-notariusa.html,rg.ru,6,0,,,content,failed,Browser rendering did not produce usable content,,,0,44.4444
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,33.3333,,нотариус с гарантией,notary_services,commercial,,,https://gde-notarius.ru/karandina-svetlana-pavlovna,gde-notarius.ru,7,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://gde-notarius.ru/karandina-svetlana-pavlovna
Call log:
  - navigating to ""https://gde-notarius.ru/karandina-svetlana-pavlovna"", waiting until ""domcontentloaded""
",,,0,33.3333
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,44.4444,,нотариус под ключ,notary_services,commercial,,,https://realty.rbc.ru/news/6075465f9a7947650d011f43,realty.rbc.ru,6,0,,,article,failed,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://realty.rbc.ru/news/6075465f9a7947650d011f43
Call log:
  - navigating to ""https://realty.rbc.ru/news/6075465f9a7947650d011f43"", waiting until ""domcontentloaded""
",,,0,44.4444
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,0.0,,нотариус под ключ,notary_services,commercial,,,https://minjust.gov.ru/ru/pages/reestr-notariusov-rossijskoj-federacii/,minjust.gov.ru,10,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://minjust.gov.ru/ru/pages/reestr-notariusov-rossijskoj-federacii/
Call log:
  - navigating to ""https://minjust.gov.ru/ru/pages/reestr-notariusov-rossijskoj-federacii/"", waiting until ""domcontentloaded""
",,,0,0.0
