query,category,intent,city,region_code,top_n,pages_to_scan,target_topic,query_focus,positive_page_pattern,negative_page_traps
ремонт квартир москва,apartment_renovation,commercial,Москва,213,10,2,ремонт квартир под ключ,ремонт квартир в Москве,страница должна явно отвечать на потребность: ремонт квартир в Москве; нужна коммерческая посадочная внутри темы: ремонт квартир под ключ; должна быть привязка к городу Москва: адрес зона работы доставка или филиал; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает ремонт квартир в Москве, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта; слабая релевантность: страница про другой город или без подтверждения работы в Москва; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
ремонт квартир под ключ цена,apartment_renovation,commercial,,,10,2,ремонт квартир под ключ,стоимость ремонта квартиры под ключ,страница должна явно отвечать на потребность: стоимость ремонта квартиры под ключ; нужна коммерческая посадочная внутри темы: ремонт квартир под ключ; обязательны цена диапазон тариф калькулятор или понятная логика расчета; нужна возможность покупки заказа заявки консультации или подбора конкретного предложения; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает стоимость ремонта квартиры под ключ, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
капитальный ремонт квартиры москва,apartment_renovation,commercial,Москва,213,10,2,ремонт квартир под ключ,капитальный ремонт квартиры,страница должна явно отвечать на потребность: капитальный ремонт квартиры; нужна коммерческая посадочная внутри темы: ремонт квартир под ключ; должна быть привязка к городу Москва: адрес зона работы доставка или филиал; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает капитальный ремонт квартиры, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта; слабая релевантность: страница про другой город или без подтверждения работы в Москва; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
дизайнерский ремонт квартиры,apartment_renovation,commercial,,,10,2,ремонт квартир под ключ,дизайнерский ремонт квартиры,страница должна явно отвечать на потребность: дизайнерский ремонт квартиры; нужна коммерческая посадочная внутри темы: ремонт квартир под ключ; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает дизайнерский ремонт квартиры, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
ремонт однокомнатной квартиры цена,apartment_renovation,commercial,,,10,2,ремонт квартир под ключ,ремонт однокомнатной квартиры,страница должна явно отвечать на потребность: ремонт однокомнатной квартиры; нужна коммерческая посадочная внутри темы: ремонт квартир под ключ; обязательны цена диапазон тариф калькулятор или понятная логика расчета; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда; должны совпадать важные уточнения из запроса: формат размер мощность тип объекта или комплектация,"мусор: страница не раскрывает ремонт однокомнатной квартиры, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
ремонт квартиры в новостройке,apartment_renovation,commercial,,,10,2,ремонт квартир под ключ,ремонт квартиры в новостройке,страница должна явно отвечать на потребность: ремонт квартиры в новостройке; нужна коммерческая посадочная внутри темы: ремонт квартир под ключ; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает ремонт квартиры в новостройке, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
ремонт ванной комнаты под ключ,apartment_renovation,commercial,,,10,2,ремонт квартир под ключ,ремонт ванной комнаты,страница должна явно отвечать на потребность: ремонт ванной комнаты; нужна коммерческая посадочная внутри темы: ремонт квартир под ключ; нужна возможность покупки заказа заявки консультации или подбора конкретного предложения; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает ремонт ванной комнаты, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
бригада для ремонта квартиры,apartment_renovation,commercial,,,10,2,ремонт квартир под ключ,бригада ремонта квартиры,страница должна явно отвечать на потребность: бригада ремонта квартиры; нужна коммерческая посадочная внутри темы: ремонт квартир под ключ; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает бригада ремонта квартиры, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
ремонт квартир отзывы,apartment_renovation,comparison,,,10,2,ремонт квартир под ключ,отзывы о ремонте квартир,страница должна явно отвечать на потребность: отзывы о ремонте квартир; нужны реальные отзывы рейтинг сравнение кейсы или понятные критерии выбора; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда; нужны отзывы рейтинги сравнение вариантов или доказательства опыта,"мусор: страница не раскрывает отзывы о ремонте квартир, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта; слабая релевантность: продающая страница без отзывов рейтинга сравнения или социального доказательства; hard-negative: каталог товаров без подтверждения выполнения нужной услуги; hard-negative: нет отзывов рейтинга сравнения или кейсов, только обычное описание услуги"
как выбрать компанию по ремонту квартир,apartment_renovation,informational,,,10,2,ремонт квартир под ключ,выбор ремонтной компании,страница должна явно отвечать на потребность: выбор ремонтной компании; нужен полезный разбор темы с конкретными критериями примерами и ответом на вопрос; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда; страница должна помогать принять решение а не просто продавать услугу,"мусор: страница не раскрывает выбор ремонтной компании, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта; слабая релевантность: каталог или рекламная страница без ответа на вопрос пользователя; hard-negative: каталог товаров без подтверждения выполнения нужной услуги; hard-negative: страница не объясняет критерии выбора причины отличия подготовку или этапы"
натяжные потолки москва,stretch_ceilings,commercial,Москва,213,10,2,натяжные потолки,натяжные потолки в Москве,страница должна явно отвечать на потребность: натяжные потолки в Москве; нужна коммерческая посадочная внутри темы: натяжные потолки; должна быть привязка к городу Москва: адрес зона работы доставка или филиал,"мусор: страница не раскрывает натяжные потолки в Москве, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ремонт крыши; светильники без потолков; потолочная плитка; общая отделка без натяжных потолков; слабая релевантность: страница про другой город или без подтверждения работы в Москва; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
натяжной потолок цена за м2,stretch_ceilings,commercial,,,10,2,натяжные потолки,цена натяжного потолка за квадратный метр,страница должна явно отвечать на потребность: цена натяжного потолка за квадратный метр; нужна коммерческая посадочная внутри темы: натяжные потолки; обязательны цена диапазон тариф калькулятор или понятная логика расчета; должны совпадать важные уточнения из запроса: формат размер мощность тип объекта или комплектация,"мусор: страница не раскрывает цена натяжного потолка за квадратный метр, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ремонт крыши; светильники без потолков; потолочная плитка; общая отделка без натяжных потолков; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета; hard-negative: страница совпадает по теме но игнорирует ключевой технический уточнитель запроса"
матовые натяжные потолки купить,stretch_ceilings,commercial,,,10,2,натяжные потолки,матовые натяжные потолки,страница должна явно отвечать на потребность: матовые натяжные потолки; нужна коммерческая посадочная внутри темы: натяжные потолки; нужна возможность покупки заказа заявки консультации или подбора конкретного предложения,"мусор: страница не раскрывает матовые натяжные потолки, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ремонт крыши; светильники без потолков; потолочная плитка; общая отделка без натяжных потолков; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: обзор или блог без возможности купить заказать или отправить заявку"
натяжной потолок с подсветкой,stretch_ceilings,commercial,,,10,2,натяжные потолки,натяжной потолок с подсветкой,страница должна явно отвечать на потребность: натяжной потолок с подсветкой; нужна коммерческая посадочная внутри темы: натяжные потолки,"мусор: страница не раскрывает натяжной потолок с подсветкой, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ремонт крыши; светильники без потолков; потолочная плитка; общая отделка без натяжных потолков; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
установка натяжных потолков,stretch_ceilings,commercial,,,10,2,натяжные потолки,установка натяжных потолков,страница должна явно отвечать на потребность: установка натяжных потолков; нужна коммерческая посадочная внутри темы: натяжные потолки; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает установка натяжных потолков, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ремонт крыши; светильники без потолков; потолочная плитка; общая отделка без натяжных потолков; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
двухуровневые натяжные потолки,stretch_ceilings,commercial,,,10,2,натяжные потолки,двухуровневые натяжные потолки,страница должна явно отвечать на потребность: двухуровневые натяжные потолки; нужна коммерческая посадочная внутри темы: натяжные потолки,"мусор: страница не раскрывает двухуровневые натяжные потолки, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ремонт крыши; светильники без потолков; потолочная плитка; общая отделка без натяжных потолков; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
натяжной потолок в ванную,stretch_ceilings,commercial,,,10,2,натяжные потолки,натяжной потолок для ванной,страница должна явно отвечать на потребность: натяжной потолок для ванной; нужна коммерческая посадочная внутри темы: натяжные потолки,"мусор: страница не раскрывает натяжной потолок для ванной, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ремонт крыши; светильники без потолков; потолочная плитка; общая отделка без натяжных потолков; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
замер натяжного потолка бесплатно,stretch_ceilings,commercial,,,10,2,натяжные потолки,замер для натяжного потолка,страница должна явно отвечать на потребность: замер для натяжного потолка; нужна коммерческая посадочная внутри темы: натяжные потолки,"мусор: страница не раскрывает замер для натяжного потолка, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ремонт крыши; светильники без потолков; потолочная плитка; общая отделка без натяжных потолков; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
натяжные потолки отзывы,stretch_ceilings,comparison,,,10,2,натяжные потолки,отзывы о натяжных потолках,страница должна явно отвечать на потребность: отзывы о натяжных потолках; нужны реальные отзывы рейтинг сравнение кейсы или понятные критерии выбора; нужны отзывы рейтинги сравнение вариантов или доказательства опыта,"мусор: страница не раскрывает отзывы о натяжных потолках, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ремонт крыши; светильники без потолков; потолочная плитка; общая отделка без натяжных потолков; слабая релевантность: продающая страница без отзывов рейтинга сравнения или социального доказательства; hard-negative: нет отзывов рейтинга сравнения или кейсов, только обычное описание услуги"
какой натяжной потолок выбрать,stretch_ceilings,informational,,,10,2,натяжные потолки,выбор натяжного потолка,страница должна явно отвечать на потребность: выбор натяжного потолка; нужен полезный разбор темы с конкретными критериями примерами и ответом на вопрос; страница должна помогать принять решение а не просто продавать услугу,"мусор: страница не раскрывает выбор натяжного потолка, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ремонт крыши; светильники без потолков; потолочная плитка; общая отделка без натяжных потолков; слабая релевантность: каталог или рекламная страница без ответа на вопрос пользователя; hard-negative: страница не объясняет критерии выбора причины отличия подготовку или этапы"
